trait	run	independent	dependent	covarion	q12=q21	q13=q31	q24=q42	q34=q43	logBF_dependent	mean_logBF_dependent	logBF_covarion	mean_logBF_covarion	logBF_q12=q21	mean_logBF_q12=q21	logBF_q13=q31	mean_logBF_q13=q31	logBF_q24=q42	mean_logBF_q24=q42	logBF_q34=q43	mean_logBF_q34=q43	feature
assembly_length	run1	-468.023313	-465.044307	-439.439047	-463.744024	-463.844299	-464.998781	-463.943836	5.95801199999994	5.977194666666605	51.210519999999974	51.308808	-2.600565999999958	-2.559946666666671	-2.4000160000000506	-2.224894666666728	-0.09105199999999058	-0.13660000000004402	-2.2009420000000546	-2.330404666666709	Genome
assembly_length	run2	-468.11494	-465.057654	-439.401295	-463.84066	-464.046922	-465.032469	-463.852611	6.114571999999953	5.977194666666605	51.31271800000002	51.308808	-2.4339879999999994	-2.559946666666671	-2.0214640000000372	-2.224894666666728	-0.05037000000004355	-0.13660000000004402	-2.4100859999999784	-2.330404666666709	Genome
assembly_length	run3	-468.01259	-465.08309	-439.381497	-463.760447	-463.956488	-464.948901	-463.892997	5.858999999999924	5.977194666666605	51.403186000000005	51.308808	-2.6452860000000555	-2.559946666666671	-2.253204000000096	-2.224894666666728	-0.2683780000000979	-0.13660000000004402	-2.3801860000000943	-2.330404666666709	Genome
assembly_noreps	run1	-444.834704	-433.764375	-416.180198	-432.424705	-434.684019	-432.612883	-432.196439	22.14065800000003	22.658740666666706	35.16835399999991	34.827807333333304	-2.679339999999911	-2.3900619999999435	1.8392880000000105	2.7729260000000218	-2.302983999999924	-2.0538239999999632	-3.1358719999999494	-2.7437093333332996	Genome w/o repeats
assembly_noreps	run2	-444.882899	-433.337903	-416.222697	-432.224535	-435.067888	-432.472395	-432.206111	23.089992000000052	22.658740666666706	34.230412	34.827807333333304	-2.22673599999996	-2.3900619999999435	3.4599699999999984	2.7729260000000218	-1.7310159999999541	-2.0538239999999632	-2.2635839999999234	-2.7437093333332996	Genome w/o repeats
assembly_noreps	run3	-444.838768	-433.465982	-415.923654	-432.333927	-434.975742	-432.402246	-432.050146	22.74557200000004	22.658740666666706	35.084655999999995	34.827807333333304	-2.2641099999999597	-2.3900619999999435	3.019520000000057	2.7729260000000218	-2.1274720000000116	-2.0538239999999632	-2.831672000000026	-2.7437093333332996	Genome w/o repeats
effectors	run1	-404.156089	-395.465516	-388.125939	-394.329096	-396.721632	-394.543256	-394.18955	17.381146000000058	17.541300000000017	14.679153999999926	14.158161333333283	-2.2728399999999738	-2.0556286666666588	2.51223200000004	2.466067999999988	-1.8445199999999886	-1.3091953333333397	-2.5519319999999652	-2.14861933333331	Effectors
effectors	run2	-403.984643	-395.206711	-388.147571	-394.245542	-396.390838	-394.712735	-394.309588	17.555864000000042	17.541300000000017	14.118279999999913	14.158161333333283	-1.922337999999968	-2.0556286666666588	2.368253999999979	2.466067999999988	-0.9879519999999502	-1.3091953333333397	-1.79424599999993	-2.14861933333331	Effectors
effectors	run3	-404.104334	-395.260889	-388.422364	-394.275035	-396.519748	-394.713332	-394.211049	17.68688999999995	17.541300000000017	13.677050000000008	14.158161333333283	-1.971708000000035	-2.0556286666666588	2.5177179999999453	2.466067999999988	-1.0951140000000805	-1.3091953333333397	-2.099680000000035	-2.14861933333331	Effectors
frac_repeats	run1	-480.350029	-468.088787	-463.560102	-466.444736	-467.053102	-466.826292	-466.245519	24.522483999999963	24.89834533333332	9.057370000000105	8.689333333333403	-3.2881020000000944	-3.063657333333367	-2.0713700000000017	-1.5500973333333452	-2.5249900000000025	-2.1725079999999934	-3.6865360000000464	-2.988146666666694	Repeats
frac_repeats	run2	-480.367638	-467.672549	-463.481675	-466.338185	-467.062159	-466.703184	-466.510748	25.39017799999999	24.89834533333332	8.381748000000016	8.689333333333403	-2.6687279999999873	-3.063657333333367	-1.2207799999999907	-1.5500973333333452	-1.938729999999964	-2.1725079999999934	-2.323602000000051	-2.988146666666694	Repeats
frac_repeats	run3	-480.278495	-467.887308	-463.572867	-466.270237	-467.208237	-466.860406	-466.410157	24.782374000000004	24.89834533333332	8.62888200000009	8.689333333333403	-3.23414200000002	-3.063657333333367	-1.3581420000000435	-1.5500973333333452	-2.0538040000000137	-2.1725079999999934	-2.954301999999984	-2.988146666666694	Repeats
F_intron_genes	run1	-508.819943	-509.840544	-461.342295	-509.289076	-509.470601	-509.140276	-509.275173	-2.0412019999999984	-1.9855700000000145	96.99649800000009	96.92734000000003	-1.1029359999999997	-0.685352666666707	-0.7398860000000695	-0.5013093333333624	-1.400536000000102	-1.2145700000000563	-1.1307420000000548	-0.8865093333333789	Genes with introns
F_intron_genes	run2	-508.744605	-509.710477	-461.331659	-509.420215	-509.584071	-509.235639	-509.288076	-1.9317440000000943	-1.9855700000000145	96.75763600000005	96.92734000000003	-0.5805240000000822	-0.685352666666707	-0.25281200000006265	-0.5013093333333624	-0.9496760000000677	-1.2145700000000563	-0.8448020000000724	-0.8865093333333789	Genes with introns
F_intron_genes	run3	-508.745734	-509.737616	-461.223673	-509.551317	-509.482001	-509.090867	-509.395624	-1.983763999999951	-1.9855700000000145	97.02788599999997	96.92734000000003	-0.37259800000003906	-0.685352666666707	-0.511229999999955	-0.5013093333333624	-1.2934979999999996	-1.2145700000000563	-0.6839840000000095	-0.8865093333333789	Genes with introns
genes	run1	-398.068874	-383.383444	-380.626677	-382.031046	-384.293577	-382.316335	-381.99276	29.370859999999993	29.679445999999984	5.51353400000005	5.281534666666668	-2.7047959999999875	-2.6411673333333283	1.8202660000000606	1.941889333333317	-2.1342180000000326	-1.857526000000045	-2.781368000000043	-2.4394986666666987	Genes
genes	run2	-398.08843	-383.291178	-380.685719	-381.819026	-384.240216	-382.438837	-382.00861	29.59450400000003	29.679445999999984	5.210917999999992	5.281534666666668	-2.9443039999999883	-2.6411673333333283	1.8980759999999464	1.941889333333317	-1.704682000000048	-1.857526000000045	-2.5651360000000523	-2.4394986666666987	Genes
genes	run3	-398.099502	-383.063015	-380.502939	-381.925814	-384.116678	-382.196176	-382.077019	30.07297399999993	29.679445999999984	5.120151999999962	5.281534666666668	-2.274402000000009	-2.6411673333333283	2.1073259999999436	1.941889333333317	-1.7336780000000545	-1.857526000000045	-1.9719920000000002	-2.4394986666666987	Genes
LEN_exons	run1	-382.391032	-372.879774	-351.741227	-371.813232	-371.677926	-376.052979	-371.517652	19.022515999999996	18.783608666666662	42.277094000000034	42.67188533333331	-2.13308399999994	-2.342010666666662	-2.403695999999968	-2.1273559999999634	6.346409999999992	6.53123400000004	-2.7242439999999988	-2.810433333333284	Exon length
LEN_exons	run2	-382.308317	-372.98812	-351.376252	-371.796007	-372.071566	-376.357138	-371.668354	18.640394000000015	18.783608666666662	43.22373599999992	42.67188533333331	-2.3842260000000124	-2.342010666666662	-1.8331079999999247	-2.1273559999999634	6.738036000000079	6.53123400000004	-2.6395319999999174	-2.810433333333284	Exon length
LEN_exons	run3	-382.408306	-373.064348	-351.806935	-371.809987	-371.991716	-376.318976	-371.530586	18.687915999999973	18.783608666666662	42.51482599999997	42.67188533333331	-2.5087220000000343	-2.342010666666662	-2.1452639999999974	-2.1273559999999634	6.50925600000005	6.53123400000004	-3.067523999999935	-2.810433333333284	Exon length
LEN_intergenic	run1	-442.712879	-429.995432	-424.195646	-428.96209	-429.019121	-429.323325	-428.778045	25.434893999999986	25.390607333333303	11.599571999999966	11.73431933333336	-2.0666840000000093	-1.990633333333373	-1.9526220000000194	-1.5897793333333539	-1.3442139999999654	-1.559852666666681	-2.4347739999999476	-2.310008000000001	Intergenic length
LEN_intergenic	run2	-442.729064	-430.112342	-424.35137	-429.104363	-429.386462	-429.18305	-429.039653	25.233443999999963	25.390607333333303	11.521944000000076	11.73431933333336	-2.0159580000000688	-1.990633333333373	-1.4517600000000357	-1.5897793333333539	-1.8585840000000644	-1.559852666666681	-2.1453780000000506	-2.310008000000001	Intergenic length
